,DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
1435,39:52.7,-17.337,-177.312,391.0,6.4,Mw,563.0,,,0.81,NEI,2008071941.0
1436,24:30.9,25.039,97.697,10.0,6.0,Mw,235.0,,,0.88,NEI,2008082140.0
1437,00:34.1,26.743000000000002,55.828,12.0,6.1,Mw,500.0,,,1.0,NEI,2008091040.0
1438,30:45.6,29.807,90.35,12.0,6.3,Mw,434.0,,,0.99,NEI,2008100640.0
1439,04:35.0,-2.635,145.57399999999998,10.0,6.3,Mw,256.0,,,1.33,NEI,2008102340.0
1440,09:57.6,30.639,67.351,15.0,6.4,Mw,365.0,,,0.84,NEI,2008102840.0
1441,15:41.1,-9.02,-108.24600000000001,10.0,6.1,Mw,241.0,,,1.12,NEI,2008103040.0
1442,52:06.6,37.696,95.71799999999999,13.0,6.3,Mw,351.0,,,0.81,NEI,2009082840.0
1443,05:34.9,-8.947000000000001,159.553,118.0,6.1,Mw,324.0,,,0.92,NEI,2008112140.0
1444,02:58.8,54.203,154.322,492.3,7.3,Mw,531.0,,,0.77,NEI,2008112440.0
1445,55:26.3,-7.393,124.745,398.0,6.4,Mw,416.0,,,0.81,NEI,2008120640.0
1446,39:09.5,-53.005,106.823,11.0,6.3,Mw,365.0,,,0.95,NEI,2008120840.0
1447,23:59.7,-31.232,-176.924,18.0,6.8,Mw,414.0,,,1.08,NEI,2008120940.0
1448,29:23.1,36.541,142.425,19.0,6.3,Mw,373.0,,,0.84,NEI,2008122040.0
1449,04:42.6,-13.147,66.078,10.0,6.0,Mw,166.0,,,1.32,NEI,2009011340.0
1450,04:49.3,-5.854,-80.891,21.0,6.1,Mw,372.0,,,0.8,NEI,2009021540.0
1451,50:29.4,80.324,-1.8530000000000002,9.0,6.5,Mw,341.0,,,0.9,NEI,2009030640.0
1452,17:40.5,-23.043000000000003,-174.66,31.0,7.6,Mw,504.0,,,1.0,NEI,2009031940.0
1453,32:39.0,42.333999999999996,13.334000000000001,8.8,6.3,Mw,488.0,,,0.0,ROM,2009040640.0
1454,01:34.7,-3.115,100.471,22.0,6.3,Mw,309.0,,,0.99,NEI,2009041540.0
1455,08:08.7,-19.584,-70.483,25.0,6.1,Mw,369.0,,,0.86,NEI,2009041740.0
1456,26:11.5,50.833,155.009,152.0,6.2,Mw,485.0,,,0.79,NEI,2009042140.0
1457,24:46.6,16.730999999999998,-86.21700000000001,19.0,7.3,Mw,464.0,,,1.12,NEI,2009052840.0
1458,33:28.8,23.864,-46.105,14.0,6.0,Mw,383.0,,,0.88,NEI,2009060640.0
1459,39:04.5,34.27,25.114,26.0,6.0,Mw,634.0,100.0,1.0,0.0,NEI,2013061620.0
1460,49:35.5,9.59,-78.96600000000001,38.0,6.1,Mw,358.0,,,0.95,NEI,2009070440.0
1461,53:12.2,50.435,176.99200000000002,22.0,6.1,Mw,397.0,,,0.81,NEI,2009070640.0
1462,11:46.7,75.351,-72.453,19.0,6.1,Mw,347.0,,,1.0,NEI,2009070740.0
1463,41:53.8,-46.036,165.937,12.0,6.1,ML,194.0,,,0.0,WEL,2009071540.0
1464,06:00.6,28.837,-113.027,9.0,6.0,Mw,397.0,,,1.15,NEI,2012041220.0
1465,28:38.9,24.27,125.154,32.0,6.3,Mw,370.0,,,0.92,NEI,2010100440.0
1466,07:09.1,34.743,138.264,40.4,6.2,Mw,163.0,,,0.94,NEI,2009081040.0
1467,20:47.5,-26.064,-178.391,269.8,6.3,Mw,337.0,,,0.85,NEI,2009081840.0
1468,35:04.4,72.2,0.9440000000000001,6.0,6.0,Mw,465.0,,,0.93,NEI,2009082040.0
1469,12:22.6,-10.198,110.62799999999999,23.0,6.2,Mw,349.0,,,0.81,NEI,2009090740.0
1470,06:25.5,10.709000000000001,-67.92699999999999,14.0,6.4,Mw,508.0,,,1.24,NEI,2009091240.0
1471,21:38.5,-29.144000000000002,-112.26700000000001,10.0,6.2,Mw,299.0,,,0.94,NEI,2009091740.0
1472,53:05.9,27.331999999999997,91.43700000000001,14.0,6.1,Mw,259.0,,,0.98,NEI,2009092140.0
1473,16:09.2,-0.72,99.867,81.0,7.6,Mw,498.0,,,0.92,NEI,2009093040.0
